action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status
kivi_4bit_residual32,11.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,16.6796875,2.009765625,2.009765625,2.009765625,2051.0287089273334,unknown,True,,True,,False,,15110.85791015625,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-024-turn-0,2.009765625,0.0,2.009765625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-024,chat,172.46007383801043,0,risk_evidence_insufficient
kivi_4bit_residual32,12.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,17.9716796875,1.2919921875,1.2919921875,1.2919921875,1516.1450859159231,unknown,True,,True,,False,,15082.97705078125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-025-turn-0,1.2919921875,0.0,1.2919921875,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-025,chat,102.07266989164054,0,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,19.4072265625,1.435546875,1.435546875,1.435546875,1725.0218989793211,unknown,True,,True,,False,,15090.33642578125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-026-turn-0,1.435546875,0.0,1.435546875,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-026,chat,106.48619593121111,0,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,20.14208984375,2.45751953125,2.45751953125,0.73486328125,2128.386940807104,unknown,True,,True,,False,,15112.19140625,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-012-turn-1,2.45751953125,1.72265625,2.45751953125,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-012,chat,193.44599079340696,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,True,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,21.0751953125,2.117431640625,2.117431640625,0.93310546875,1106.9373812060803,unknown,True,,True,,False,,15071.94580078125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-013-turn-1,2.117431640625,1.184326171875,2.117431640625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-013,chat,86.58227999694645,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,21.442626953125,2.090087890625,2.090087890625,0.367431640625,1090.4273230116814,unknown,True,,True,,False,,15074.09716796875,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-016-turn-1,2.090087890625,1.72265625,2.090087890625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-016,chat,82.30123785324395,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,22.563720703125,2.664306640625,2.664306640625,1.12109375,1110.8804629184306,unknown,True,,True,,False,,15106.4111328125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-017-turn-1,2.664306640625,1.543212890625,2.664306640625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-017,chat,106.57389694824815,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,23.353271484375,1.93798828125,1.93798828125,0.78955078125,1099.1686079651117,unknown,True,,True,,False,,15083.65380859375,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-018-turn-1,1.93798828125,1.1484375,1.93798828125,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-018,chat,94.64530507102609,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,23.8505859375,1.973876953125,1.973876953125,0.497314453125,2000.2150060608983,unknown,True,,True,,False,,15077.10986328125,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-019-turn-1,1.973876953125,1.4765625,1.973876953125,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-019,chat,89.24604207277298,1,risk_evidence_insufficient
kivi_4bit_residual32,13.0,0.1,False,False,online_qwen,False,,configs/pilot_diagnostic_session25_fourth.yaml,,,,,0.05,True,,0.05,,0,False,,120.2578125,24.46923828125,2.19775390625,2.19775390625,0.61865234375,2035.9286051243544,unknown,True,,True,,False,,15087.68212890625,True,static_safe,False,0.0,0.0,kivi_4bit_residual32,0.0,,risk_evidence_insufficient,0.0,static_safe,0.0,,,,hybrid-session-020-turn-1,2.19775390625,1.5791015625,2.19775390625,0.0,0.0,out/full_25session_baseline_9_14/full/policy_attempts/retry1_20260915/debug_static_safe_retry2,True,calibrated safe,hybrid-session-020,chat,155.4193131159991,1,risk_evidence_insufficient
