section,name,ok,error,diagnostic_output,failures,config,profile_rows,dry_run,epsilon_values,delta_values,family,exact,count,ok_count,measured_count,task_count,length_bucket_count,split_count,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,p99_peak_memory_mib,mean_resident_memory_mib,p95_resident_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,p99_kv_cache_memory_mib,backend_distribution,ttft_semantics_distribution,worker_mode_distribution,primary_metric_distribution,violation_rate_eps0p05,violation_rate_eps0p1
experiment,pilot-smoke-measured,True,,,,configs/pilot_50.yaml,400,False,"[0.05, 0.1]","[0.05, 0.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",full,True,50.0,50.0,50.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1119.8136287927628,842.1916291117668,3344.866842031479,3466.381248086691,553.8535787165165,299.64660108089447,2811.7340989410877,2937.4827034771442,4715.7651953125,5419.32568359375,5544.41259765625,8670.3265625,8694.28515625,38.7909375,100.4609375,111.78125,"{""transformers"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.0,0.0
profile,h2o_heavy10_recent10,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",h2o,False,50.0,50.0,50.0,2.0,4.0,2.0,0.026323243551887657,0.0,0.14671814671814676,0.23076923076923084,0.17526317526317528,1665.5852878838778,1400.0102579593658,4008.1459879875183,4146.9088755548,657.6841074973345,358.35353657603264,3014.4213661551476,3093.6802811920643,4690.827626953125,5352.1806640625,5483.017578125,8673.8671875,8687.37890625,7.574158935546875,19.9840087890625,22.1800537109375,"{""qwen2_h2o"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.22,0.14
profile,h2o_heavy15_recent15,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",h2o,False,50.0,50.0,50.0,2.0,4.0,2.0,0.032699430906880905,0.0,0.13831478537360897,0.20199146514935984,0.1656671357393752,1658.688883855939,1367.8076155483723,3970.9593653678894,4079.153250902891,657.7596864104271,359.00917276740074,2965.482387691736,3055.375374853611,4692.909375,5359.12890625,5485.4169921875,8632.01953125,8680.06640625,11.3930810546875,29.97601318359375,33.3798828125,"{""qwen2_h2o"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.3,0.18
profile,h2o_heavy20_recent20,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",h2o,False,50.0,50.0,50.0,2.0,4.0,2.0,0.02624692396302402,0.0,0.11764705882352933,0.20199146514935984,0.1460009323786413,1665.9975791722536,1374.0715458989143,4010.8364559710026,4178.433604538441,658.0386110395193,358.9642345905304,3026.5949070453644,3125.3756918013096,4695.67111328125,5365.04150390625,5488.47802734375,8658.825,8670.6953125,15.2054150390625,39.968017578125,44.46990966796875,"{""qwen2_h2o"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.24,0.1
profile,kivi_2bit_residual32,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",kivi,False,50.0,50.0,50.0,2.0,4.0,2.0,0.016578980230311843,0.0,0.09619450317124734,0.19000819000819003,0.12823940424919614,1845.9879907220602,1389.8932561278343,5452.1408677101135,5682.143855839968,810.3327237814665,370.473925024271,4380.881872028112,4611.568730324507,4688.204873046875,5345.30224609375,5465.82177734375,8689.6015625,8709.91015625,8.358369140625,19.836181640625,22.2919921875,"{""qwen2_kivi"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.18,0.02
profile,kivi_2bit_residual64,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",kivi,False,50.0,50.0,50.0,2.0,4.0,2.0,0.014913206722644106,0.0,0.08187134502923976,0.19000819000819003,0.12346501820186029,1833.7915565818548,1392.1495117247105,5248.338982462883,5442.885782569647,798.7465938180685,372.891828417778,4162.954982370138,4349.87910091877,4688.45953125,5345.47998046875,5466.17724609375,8692.790625,8723.42578125,9.4323291015625,21.258056640625,23.7138671875,"{""qwen2_kivi"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.16,0.02
profile,kivi_4bit_residual32,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",kivi,False,50.0,50.0,50.0,2.0,4.0,2.0,0.007900458604632832,0.0,0.06401137980085347,0.14671814671814676,0.09466319992635781,1891.6523476690054,1452.0061239600182,5308.95622074604,5517.431408166885,813.2078751176596,373.46676364541054,4236.755318939686,4433.332115411758,4689.351357421875,5348.3642578125,5469.25,8693.03359375,8731.40234375,13.040302734375,32.239990234375,36.0595703125,"{""qwen2_kivi"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.1,0.02
profile,kivi_4bit_residual64,True,,,,configs/pilot_50.yaml,,False,"[0.05, 0.1]","[0.05, 0.1]",kivi,False,50.0,50.0,50.0,2.0,4.0,2.0,0.006920105624279851,0.0,0.05363984674329492,0.14671814671814676,0.08812312442076504,1845.7430879026651,1461.0668644309044,5363.405469805002,5419.5441752672195,801.4981281757355,372.8746846318245,4272.731311619282,4367.504559457302,4689.567607421875,5348.5146484375,5469.5888671875,8695.93515625,8729.66015625,13.9490380859375,33.443115234375,37.2626953125,"{""qwen2_kivi"": 50}","{""first_token"": 50}","{""batch"": 50}",{},0.08,0.02
