section,name,ok,error,diagnostic_output,failures,config,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution
experiment,pilot-smoke-measured,True,,,,configs/pilot.yaml,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profile,full_gpu,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,548.5015326738358,2747.9226514697075,2930.505648255348,4711.336318359375,5121.31005859375,38.3641015625,74.3203125,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
profile,kivi_4bit_residual32,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,874.4823599420488,4296.890657395124,4468.025792390108,4685.015886230469,5069.26806640625,12.907574462890626,24.108642578125,0.010791006330424416,0.06401137980085347,0.14671814671814676,0.12357275325628005,0.0,,,,,,,,,,,,
profile,kivi_4bit_residual64,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,846.4850193820894,4326.997954398394,4570.050861686468,4685.067744140625,5069.41845703125,13.817437744140625,25.052001953125,0.010279956943794537,0.06153846153846143,0.14671814671814676,0.12250715219067895,0.0,,,,,,,,,,,,
profile,kivi_2bit_residual32,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,809.322066437453,4345.14918550849,4565.30038267374,4683.8817211914065,5066.99853515625,8.279114990234374,14.979248046875,0.02538171893062736,0.13186813186813184,0.2753623188405797,0.20532623983098697,0.0,,,,,,,,,,,,
profile,kivi_2bit_residual64,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,787.1250681765378,4332.748267799616,4487.7790957689285,4683.972915039062,5067.17626953125,9.354407958984375,16.10546875,0.02196999352180706,0.1103448275862069,0.2753623188405797,0.1934204185157746,0.0,,,,,,,,,,,,
profile,h2o_heavy10_recent10,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,651.9664154015481,2976.22412070632,3136.3672018051147,4686.182761230469,5073.1845703125,7.487964172363281,14.7135009765625,0.029313406622192575,0.14830214830214827,0.25806451612903225,0.22633105984374635,0.0,,,,,,,,,,,,
profile,h2o_heavy15_recent15,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,649.02676878497,2886.4501416683197,3076.0368928313255,4688.216188964844,5077.455078125,11.254730224609375,22.07025146484375,0.028430742600742222,0.13831478537360897,0.23751023751023748,0.19985718919882778,0.0,,,,,,,,,,,,
profile,h2o_heavy20_recent20,True,,,,configs/pilot.yaml,,,,,,200.0,200.0,200.0,650.9308219328523,2921.1120568215847,3109.5138750970364,4690.992312011719,5081.994140625,15.031927490234375,29.427001953125,0.019375449130902226,0.12257661038148837,0.20199146514935984,0.1727625603748895,0.0,,,,,,,,,,,,
