policy,memory_budget_mib,epsilon,delta,session_id,count,p95_ttft_ms,mean_ttft_ms,p95_quality_loss,mean_quality_loss,mean_kv_cache_memory_mib,violation_rate
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-016,5.0,232.11756604723632,161.1163940280676,,,4.489501953125,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-020,5.0,206.1118008568883,162.1189382392913,,,4.488818359375,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-021,5.0,234.8179491236806,185.36031721159816,,,4.70380859375,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-025,5.0,213.4884858969599,164.9315543472767,,,4.422509765625,
uncalibrated_dynamic,120.258,0.05,0.05,hybrid-session-026,5.0,220.44019401073456,181.25757621601224,,,4.79677734375,
utility_dynamic,120.258,0.05,0.05,hybrid-session-002,5.0,3884.6691290382296,929.0024876128882,,,3.55400390625,
utility_dynamic,120.258,0.05,0.05,hybrid-session-003,5.0,221.81671299040318,170.98222887143493,,,3.472998046875,
utility_dynamic,120.258,0.05,0.05,hybrid-session-004,5.0,231.87924292869866,186.34568224661052,,,3.715673828125,
utility_dynamic,120.258,0.05,0.05,hybrid-session-005,5.0,230.8476648759097,172.60677651502192,,,3.514697265625,
utility_dynamic,120.258,0.05,0.05,hybrid-session-006,5.0,242.55814007483423,188.78362867981195,,,4.05576171875,
utility_dynamic,120.258,0.05,0.05,hybrid-session-009,5.0,208.6708249989897,149.97564125806093,,,3.537255859375,
utility_dynamic,120.258,0.05,0.05,hybrid-session-010,5.0,217.05973497591913,155.04020899534225,,,3.707470703125,
utility_dynamic,120.258,0.05,0.05,hybrid-session-013,5.0,223.986272001639,161.28431078977883,,,3.62373046875,
utility_dynamic,120.258,0.05,0.05,hybrid-session-016,5.0,230.47699593007565,158.90551623888314,,,3.7078125,
utility_dynamic,120.258,0.05,0.05,hybrid-session-020,5.0,226.68817196972668,160.98292684182525,,,3.665087890625,
