action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,True,,,,,,,,,,6145.08984375,True,,2500.0,2500.0,2500.0,,,3733.981557768583,short,True,True,,False,,4291.20068359375,False,full_lru,,0.0,921.7634765624999,full precision exact profile,0.0,,,,session_038_turn_000,2500.0,0.0,2500.0,0.0,,,session_038,chat,3223.6112287461756,0
full_gpu,,measured_replay,True,,,,,,,,,,6145.08984375,True,,2500.0,2500.0,2500.0,,,3790.0535620152946,medium,True,True,,False,,4463.25341796875,False,full_lru,,0.0,921.7634765624999,full precision exact profile,0.0,,,,session_038_turn_001,2500.0,0.0,2500.0,2150.7814453124997,,,session_038,chat,3264.990837067365,1
full_gpu,,measured_replay,True,,,,,,,,,,6145.08984375,True,,2500.0,2500.0,2500.0,,,5970.1678984344,medium,True,True,,False,,4580.09716796875,False,full_lru,,0.0,921.7634765624999,full precision exact profile,0.0,,,,session_038_turn_002,2500.0,0.0,2500.0,4301.562890624999,,,session_038,chat,5441.012468981742,2
full_gpu,,measured_replay,True,,,,,,,,,,6145.08984375,True,,2500.0,2500.0,2500.0,,,8380.346738702057,long,True,True,,False,,4916.22216796875,False,full_lru,,0.0,921.7634765624999,full precision exact profile,0.0,,,,session_038_turn_003,2500.0,0.0,2500.0,6452.3443359375,,,session_038,chat,7851.338152742385,3
full_gpu,,measured_replay,True,,,,,,,,,,11145.08984375,True,,2500.0,2500.0,0.0,,,1542.0834986686705,medium,True,True,,False,,4409.26318359375,False,full_lru,,0.0,921.7634765624999,full precision exact profile,0.0,,,,session_039_turn_000,0.0,0.0,0.0,0.0,,,session_039,chat,1030.257039350271,0
full_gpu,,measured_replay,True,,,,,,,,,,8673.21484375,True,,2500.0,2500.0,0.0,,,7385.291130334139,medium,True,True,,False,,4446.51513671875,False,full_lru,,0.0,1300.9822265625,full precision exact profile,0.0,,,,session_039_turn_001,0.0,0.0,0.0,3025.7814453124997,,,session_039,chat,6814.6617794930935,1
full_gpu,,measured_replay,True,,,,,,,,,,8645.08984375,True,,2500.0,2500.0,0.0,,,8245.52094464302,long,True,True,,False,,4800.66650390625,False,full_lru,,0.0,1296.7634765625,full precision exact profile,0.0,,,,session_039_turn_002,0.0,0.0,0.0,6061.406640624999,,,session_039,chat,7736.762530106305,2
full_gpu,,measured_replay,True,,,,,,,,,,8645.08984375,True,,2500.0,2500.0,0.0,,,1895.339772683382,short,True,True,,False,,4314.81396484375,False,full_lru,,0.0,1296.7634765625,full precision exact profile,0.0,,,,session_040_turn_000,0.0,0.0,0.0,0.0,,,session_040,chat,1354.423188251257,0
full_gpu,,measured_replay,True,,,,,,,,,,8645.08984375,True,,2500.0,2500.0,0.0,,,5224.654533654451,long,True,True,,False,,4810.49462890625,False,full_lru,,0.0,1296.7634765625,full precision exact profile,0.0,,,,session_040_turn_001,0.0,0.0,0.0,3025.7814453124997,,,session_040,chat,4711.4088206887245,1
full_gpu,,measured_replay,True,,,,,,,,,,8645.08984375,True,,2500.0,2500.0,0.0,,,1849.2740472972393,short,True,True,,False,,4289.55810546875,False,full_lru,,0.0,1296.7634765625,full precision exact profile,0.0,,,,session_041_turn_000,0.0,0.0,0.0,0.0,,,session_041,chat,1333.643712681532,0
full_gpu,,measured_replay,True,,,,,,,,,,8673.21484375,True,,2500.0,2500.0,0.0,,,5004.900445282459,medium,True,True,,False,,4386.78662109375,False,full_lru,,0.0,1300.9822265625,full precision exact profile,0.0,,,,session_041_turn_001,0.0,0.0,0.0,3025.7814453124997,,,session_041,chat,4429.649953782558,1
full_gpu,,measured_replay,True,,,,,,,,,,8673.21484375,True,,2500.0,2500.0,0.0,,,8151.473420906066,medium,True,True,,False,,4523.97412109375,False,full_lru,,0.0,1300.9822265625,full precision exact profile,0.0,,,,session_041_turn_002,0.0,0.0,0.0,6061.406640624999,,,session_041,chat,7581.3577726960175,2
