policy,memory_budget_mib,epsilon,delta,session_id,count,p95_ttft_ms,mean_ttft_ms,p95_quality_loss,mean_quality_loss,mean_kv_cache_memory_mib,violation_rate
uncalibrated_dynamic,35.0,0.05,0.05,hybrid-session-016,4.0,,,,,,
uncalibrated_dynamic,35.0,0.05,0.05,hybrid-session-020,4.0,,,,,,
uncalibrated_dynamic,35.0,0.05,0.05,hybrid-session-021,4.0,,,,,,
uncalibrated_dynamic,35.0,0.05,0.05,hybrid-session-025,4.0,,,,,,
uncalibrated_dynamic,35.0,0.05,0.05,hybrid-session-026,5.0,121.311946073547,121.311946073547,,,2.1875,
utility_dynamic,35.0,0.05,0.05,hybrid-session-002,4.0,335.7574171386659,251.8177092424594,,,4.0545654296875,
utility_dynamic,35.0,0.05,0.05,hybrid-session-003,5.0,274.0752180106938,197.46551094576716,,,3.587158203125,
utility_dynamic,35.0,0.05,0.05,hybrid-session-004,3.0,205.54558211006224,205.54558211006224,,,3.864013671875,
utility_dynamic,35.0,0.05,0.05,hybrid-session-005,3.0,330.7929409202188,250.42867637239397,,,3.7130533854166665,
utility_dynamic,35.0,0.05,0.05,hybrid-session-006,4.0,329.57213488407433,236.0459104529582,,,3.95245361328125,
utility_dynamic,35.0,0.05,0.05,hybrid-session-009,3.0,269.5691268891096,216.9372409892579,,,3.7842610677083335,
utility_dynamic,35.0,0.05,0.05,hybrid-session-010,3.0,383.54915799573064,265.9791613308092,,,4.265625,
utility_dynamic,35.0,0.05,0.05,hybrid-session-013,4.0,276.69151895679533,194.20141848968342,,,3.5504150390625,
utility_dynamic,35.0,0.05,0.05,hybrid-session-016,3.0,,,,,,
utility_dynamic,35.0,0.05,0.05,hybrid-session-020,3.0,344.6669669356197,286.02336440235376,,,4.615966796875,
utility_dynamic,35.0,0.05,0.05,hybrid-session-021,3.0,225.08169803768396,225.08169803768396,,,3.993896484375,
utility_dynamic,35.0,0.05,0.05,hybrid-session-025,3.0,291.5811659768224,224.32118956930935,,,4.180745442708333,
utility_dynamic,35.0,0.05,0.05,hybrid-session-026,4.0,275.2968850545585,212.27096347138286,,,3.29107666015625,
full_lru,35.0,0.05,0.1,hybrid-session-002,4.0,136.38951303437352,125.64116704743356,,,9.84375,
full_lru,35.0,0.05,0.1,hybrid-session-003,5.0,134.2666670680046,117.60344440117478,,,7.5359375,
full_lru,35.0,0.05,0.1,hybrid-session-004,5.0,147.89148001000285,128.6717229988426,,,8.96875,
full_lru,35.0,0.05,0.1,hybrid-session-005,5.0,141.9851027894765,127.36727553419769,,,8.159375,
full_lru,35.0,0.05,0.1,hybrid-session-006,5.0,197.7719790302217,153.85035760700703,,,10.45625,
full_lru,35.0,0.05,0.1,hybrid-session-009,5.0,135.12637792155147,118.29749150201678,,,7.4921875,
full_lru,35.0,0.05,0.1,hybrid-session-010,5.0,134.43045690655708,118.7535266391933,,,8.0609375,
full_lru,35.0,0.05,0.1,hybrid-session-013,5.0,139.16826713830233,116.47954117506742,,,7.74375,
full_lru,35.0,0.05,0.1,hybrid-session-016,5.0,156.76511614583433,131.3038572203368,,,8.8375,
full_lru,35.0,0.05,0.1,hybrid-session-020,5.0,142.66223507001996,123.52605615742505,,,8.421875,
full_lru,35.0,0.05,0.1,hybrid-session-021,5.0,195.81811199896038,142.3249647486955,,,9.23125,
full_lru,35.0,0.05,0.1,hybrid-session-025,5.0,154.25108186900616,132.51832034438848,,,8.53125,
full_lru,35.0,0.05,0.1,hybrid-session-026,5.0,193.12498904764652,139.0882677398622,,,9.7125,
static_best,35.0,0.05,0.1,hybrid-session-002,4.0,288.31919305957854,218.95522356498986,,,5.108154296875,
static_best,35.0,0.05,0.1,hybrid-session-003,5.0,265.71210101246834,180.5496491957456,,,4.290576171875,
static_best,35.0,0.05,0.1,hybrid-session-004,5.0,291.44052299670875,206.2086807563901,,,4.687744140625,
static_best,35.0,0.05,0.1,hybrid-session-005,5.0,288.3975859731436,189.10425193607807,,,4.462158203125,
static_best,35.0,0.05,0.1,hybrid-session-006,5.0,304.7901811078191,221.2359832599759,,,5.192578125,
static_best,35.0,0.05,0.1,hybrid-session-009,5.0,247.18591407872736,175.82896924577653,,,4.346630859375,
static_best,35.0,0.05,0.1,hybrid-session-010,5.0,287.063613999635,183.08555344119668,,,4.542822265625,
static_best,35.0,0.05,0.1,hybrid-session-013,5.0,174.2311001289636,119.79714874178171,,,2.9571126302083335,
static_best,35.0,0.05,0.1,hybrid-session-016,3.0,242.59284208528697,150.65072934764126,,,3.9249674479166665,
static_best,35.0,0.05,0.1,hybrid-session-020,5.0,278.2151910942048,199.59473642520607,,,4.618017578125,
static_best,35.0,0.05,0.1,hybrid-session-021,5.0,289.3184081185609,211.82620581239462,,,4.84736328125,
static_best,35.0,0.05,0.1,hybrid-session-025,5.0,283.26938999816775,195.7871440332383,,,4.559228515625,
static_best,35.0,0.05,0.1,hybrid-session-026,5.0,287.84854896366596,211.52443941682577,,,4.67099609375,
static_safe,35.0,0.05,0.1,hybrid-session-002,4.0,331.07904298231006,241.16574105573818,,,5.108154296875,
static_safe,35.0,0.05,0.1,hybrid-session-003,5.0,275.67216102033854,185.98723565228283,,,4.290576171875,
static_safe,35.0,0.05,0.1,hybrid-session-004,5.0,276.70716610737145,210.854587610811,,,4.687744140625,
static_safe,35.0,0.05,0.1,hybrid-session-005,5.0,271.7366910073906,197.64688001014292,,,4.462158203125,
static_safe,35.0,0.05,0.1,hybrid-session-006,5.0,321.12913113087416,231.17152443155646,,,5.192578125,
static_safe,35.0,0.05,0.1,hybrid-session-009,5.0,267.8859510924667,197.2355054691434,,,4.346630859375,
static_safe,35.0,0.05,0.1,hybrid-session-010,5.0,308.03333315998316,208.105723047629,,,4.542822265625,
static_safe,35.0,0.05,0.1,hybrid-session-013,5.0,199.87795408815145,144.19179068257412,,,2.9571126302083335,
static_safe,35.0,0.05,0.1,hybrid-session-016,3.0,264.59553302265704,170.45948204273978,,,3.9249674479166665,
static_safe,35.0,0.05,0.1,hybrid-session-020,5.0,316.51791208423674,224.1843928117305,,,4.618017578125,
