section,name,ok,error,diagnostic_output,session_trace_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,active_session_peak,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,length_bucket_distribution,mean_cumulative_kv_mib,mean_resident_kv_mib,multi_turn_session_count,optimality_gap,oracle,oracle_cost_ms,placeholder,policy_budget_filter_rate,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,session_count,switch_count,target_delta,task_distribution,task_length_distribution,triggered_evict,triggered_queue,triggered_recompute,triggered_restore,violation_rate_eps0p05,violation_rate_eps0p1
policy,static_best,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,18.0,12.0,12.0,,112.51017637550831,106.56248033046722,141.0183645784855,142.7857093513012,15180.332112630209,15253.39794921875,1.9764404296875,3.074462890625,14.137039184570312,17.568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,False,2.0,,"{""h2o_heavy20_recent20"": 12}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.08333333333333333,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",1.9764404296875,1.9764404296875,2.0,,False,,True,0.0,0.010714285714285713,,"{""h2o_heavy20_recent20"": 1.0}",0.0,0.0,,0.0,,0.024999999999999998,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,False,,
policy,static_safe,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,18.0,12.0,12.0,,71.86524694263935,69.45357005000115,90.95825008153915,93.29128830432892,15195.900634765625,15274.76416015625,5.897135416666667,8.6953125,15.376302083333334,17.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 12}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.75,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",5.897135416666667,5.897135416666667,2.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",0.0,0.0,,10.0,1.7092578125,0.0,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
policy,utility_dynamic,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,18.0,12.0,12.0,,104.13690294474362,103.93007472157478,141.0183645784855,142.7857093513012,15182.912190755209,15266.06884765625,2.9132486979166665,8.6953125,14.242925008138021,17.568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,2.0,False,2.0,4.833333333333333,"{""full_gpu"": 2, ""h2o_heavy20_recent20"": 10}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.16666666666666666,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",2.9132486979166665,2.9132486979166665,2.0,,False,,True,0.5,0.010714285714285713,,"{""full_gpu"": 0.47083863504916135, ""h2o_heavy20_recent20"": 0.5291613649508387}",0.0,0.0,,1.0,0.6917541503906249,0.024999999999999998,10.0,2.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
policy,uncalibrated_dynamic,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,18.0,12.0,12.0,,90.9001929298043,89.96293758153915,108.29842835664749,140.95425482988358,15189.875,15274.76416015625,3.945368448893229,8.1484375,16.44598388671875,17.614501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.5,0.5,0.5,0.5,3.0,False,0.0,2.9166666666666665,"{""full_gpu"": 6, ""h2o_heavy10_recent10"": 1, ""h2o_heavy20_recent20"": 5}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.5833333333333334,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",3.945368448893229,3.945368448893229,2.0,,False,,True,0.9166666666666666,0.0,,"{""full_gpu"": 0.7843123099275355, ""h2o_heavy10_recent10"": 0.0208730022650772, ""h2o_heavy20_recent20"": 0.19481468780738723}",0.0,0.0,,6.0,1.065918477376302,0.0,10.0,1.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
policy,full_lru,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,26.0,12.0,12.0,,71.78070918222268,69.45357005000115,90.85054888129234,93.29128830432892,15195.900634765625,15274.76416015625,5.897135416666667,8.6953125,23.369791666666668,25.375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 12}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.8333333333333334,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",5.897135416666667,5.897135416666667,2.0,,False,,False,0.5833333333333334,,,"{""full_gpu"": 1.0}",0.0,0.0,,10.0,1.6078125,,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
policy,static_best,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,26.0,12.0,12.0,,112.51017637550831,106.56248033046722,141.0183645784855,142.7857093513012,15180.332112630209,15253.39794921875,1.9764404296875,3.074462890625,14.503046671549479,18.6663818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,False,2.0,,"{""h2o_heavy20_recent20"": 12}",,,,,baseline_session,True,validated,,True,True,False,10.0,,,0.0,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",1.9764404296875,1.9764404296875,2.0,,False,,True,0.0,0.010714285714285713,,"{""h2o_heavy20_recent20"": 1.0}",0.0,0.0,,0.0,,0.024999999999999998,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",False,False,False,False,,
policy,static_safe,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,26.0,12.0,12.0,,71.78070918222268,69.45357005000115,90.85054888129234,93.29128830432892,15195.900634765625,15274.76416015625,5.897135416666667,8.6953125,23.369791666666668,25.375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 12}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.8333333333333334,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",5.897135416666667,5.897135416666667,2.0,,False,,True,0.0,0.0,,"{""full_gpu"": 1.0}",0.0,0.0,,10.0,1.6078125,0.0,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
policy,utility_dynamic,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,26.0,12.0,12.0,,112.51017637550831,106.56248033046722,141.0183645784855,142.7857093513012,15180.332112630209,15253.39794921875,1.9764404296875,3.074462890625,14.503046671549479,18.6663818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,1.0,False,2.0,6.833333333333333,"{""h2o_heavy20_recent20"": 12}",,,,,baseline_session,True,validated,,True,True,False,10.0,,,0.0,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",1.9764404296875,1.9764404296875,2.0,,False,,True,0.0,0.010714285714285713,,"{""h2o_heavy20_recent20"": 1.0}",0.0,0.0,,0.0,,0.024999999999999998,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",False,False,False,False,,
policy,uncalibrated_dynamic,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,26.0,12.0,12.0,,89.18747994005679,88.53722490668297,106.56248033046722,106.81255161762238,15188.526285807291,15274.76416015625,4.286844889322917,8.6953125,22.109024047851562,25.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.5,0.5,0.5,0.5,2.0,False,0.0,4.25,"{""full_gpu"": 6, ""h2o_heavy20_recent20"": 6}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.4166666666666667,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",4.286844889322917,4.286844889322917,2.0,,False,,True,0.5833333333333334,0.0,,"{""full_gpu"": 0.820703631108601, ""h2o_heavy20_recent20"": 0.17929636889139897}",0.0,0.0,,4.0,0.4227386474609375,0.0,10.0,2.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
policy,full_lru,True,,,,,configs/pilot_session_trace.yaml,,,,,,0.05,0.05,40.0,12.0,12.0,,71.20649043222268,67.96060130000114,89.96293758153915,92.31511642932892,15195.900634765625,15274.76416015625,5.897135416666667,8.6953125,36.061848958333336,38.71875,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 12}",,,,,baseline_session,True,validated,,True,True,True,10.0,,,0.5833333333333334,,,,,,"{""long"": 4, ""medium"": 6, ""short"": 2}",5.897135416666667,5.897135416666667,2.0,,False,,False,0.4166666666666667,,,"{""full_gpu"": 1.0}",0.0,0.0,,6.0,1.53125,,10.0,0.0,0.05,"{""qa"": 6, ""summary"": 6}","{""qa/medium"": 4, ""qa/short"": 2, ""summary/long"": 4, ""summary/medium"": 2}",True,False,False,True,,
