config,run_dir,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,budget_hit_rate,restore_count,restore_time_ms,recompute_count,recompute_time_ms,queue_delay_ms,mean_global_resident_kv_mib,p95_global_resident_kv_mib,task_distribution,length_bucket_distribution,task_length_distribution,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,action_distribution
configs/pilot.yaml,out/20260809_164746_pilot,full_lru,4900.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,283.56675412505865,162.46294975280762,716.2172459065914,726.3314537703991,15985.0344921875,17165.3818359375,29.5596875,71.640625,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,static_best,4900.0,0.05,0.05,0.008882416115174735,0.0,0.008359456635318785,0.275,0.14804026858624558,0.04,0.07142857142857142,0.010000000000000002,0.16,0.12624704787817614,0.008716192717185458,333.4989819675684,190.54051488637924,783.7224714457989,807.3830083012581,15843.1259375,16963.033203125,7.63859619140625,15.481689453125,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_2bit_residual64"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,static_safe,4900.0,0.05,0.05,0.008882416115174735,0.0,0.008359456635318785,0.275,0.14804026858624558,0.04,0.07142857142857142,0.010000000000000002,0.16,0.12624704787817614,0.008716192717185458,333.4989819675684,190.54051488637924,783.7224714457989,807.3830083012581,15843.1259375,16963.033203125,7.63859619140625,15.481689453125,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_2bit_residual64"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,utility_dynamic,4900.0,0.05,0.05,0.008798821548821547,0.0,0.0,0.275,0.008798821548821547,0.04,0.07142857142857142,0.010000000000000002,0.16,0.12522849585343224,0.008267008258713076,333.84425695985556,189.52401354908943,783.7224714457989,807.3830083012581,15841.4594140625,16963.033203125,7.34000244140625,15.481689453125,0.0,0.0,0.0,1.0,2.4,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_2bit_residual32"": 28, ""kivi_2bit_residual64"": 72}"
configs/pilot.yaml,out/20260809_164746_pilot,uncalibrated_dynamic,4900.0,0.05,0.05,0.012177927631289357,0.0,0.017683465959328015,0.275,0.1970047367536123,0.05,0.07142857142857142,0.0,0.16,0.12184107517972131,0.007998650720194225,364.0684325248003,243.64465475082397,849.6935367584229,917.0266389846802,15852.993779296876,16975.7734375,10.15234130859375,23.0234375,1.0,0.0,0.0,1.0,2.4,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_4bit_residual32"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,full_lru,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,283.56675412505865,162.46294975280762,716.2172459065914,726.3314537703991,15985.0344921875,17165.3818359375,29.5596875,71.640625,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""full_gpu"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,static_best,5000.0,0.05,0.05,0.008882416115174735,0.0,0.008359456635318785,0.275,0.14804026858624558,0.04,0.07142857142857142,0.010000000000000002,0.16,0.12624704787817614,0.008716192717185458,333.4989819675684,190.54051488637924,783.7224714457989,807.3830083012581,15843.1259375,16963.033203125,7.63859619140625,15.481689453125,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_2bit_residual64"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,static_safe,5000.0,0.05,0.05,0.008882416115174735,0.0,0.008359456635318785,0.275,0.14804026858624558,0.04,0.07142857142857142,0.010000000000000002,0.16,0.12624704787817614,0.008716192717185458,333.4989819675684,190.54051488637924,783.7224714457989,807.3830083012581,15843.1259375,16963.033203125,7.63859619140625,15.481689453125,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_2bit_residual64"": 100}"
configs/pilot.yaml,out/20260809_164746_pilot,utility_dynamic,5000.0,0.05,0.05,0.008798821548821547,0.0,0.0,0.275,0.008798821548821547,0.04,0.07142857142857142,0.010000000000000002,0.16,0.12522849585343224,0.008267008258713076,333.84425695985556,189.52401354908943,783.7224714457989,807.3830083012581,15841.4594140625,16963.033203125,7.34000244140625,15.481689453125,0.0,0.0,0.0,1.0,2.4,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_2bit_residual32"": 28, ""kivi_2bit_residual64"": 72}"
configs/pilot.yaml,out/20260809_164746_pilot,uncalibrated_dynamic,5000.0,0.05,0.05,0.012177927631289357,0.0,0.017683465959328015,0.275,0.1970047367536123,0.05,0.07142857142857142,0.0,0.16,0.12184107517972131,0.007998650720194225,364.0684325248003,243.64465475082397,849.6935367584229,917.0266389846802,15852.993779296876,16975.7734375,10.15234130859375,23.0234375,1.0,0.0,0.0,1.0,2.4,0.0,0.0,,0.0,,,,,"{""qa"": 56, ""summary"": 44}","{""nonshort"": 56, ""short"": 44}","{""qa/nonshort"": 28, ""qa/short"": 28, ""summary/nonshort"": 28, ""summary/short"": 16}",,,,,,,,"{""kivi_4bit_residual32"": 100}"
