action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,True,,,,,,,,,,8644.3984375,True,,5000.0,5000.0,0.0,,,8257.34339081645,long,True,True,,False,,4715.27880859375,False,full_lru,,0.0,1296.6597656249999,full precision exact profile,0.0,,,,session_042_turn_002,0.0,0.0,0.0,6071.1669921875,,,session_042,chat,7719.729469949007,2
full_gpu,,measured_replay,True,,,,,,,,,,8644.3984375,True,,5000.0,5000.0,0.0,,,1859.23528098464,short,True,True,,False,,4290.59521484375,False,full_lru,,0.0,1296.6597656249999,full precision exact profile,0.0,,,,session_043_turn_000,0.0,0.0,0.0,0.0,,,session_043,chat,1334.2692422211169,0
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,4981.701372122765,medium,True,True,,False,,4386.17919921875,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_043_turn_001,0.0,0.0,0.0,3025.539453125,,,session_043,chat,4420.362686669827,1
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,8085.558510816097,medium,True,True,,False,,4485.97998046875,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_043_turn_002,0.0,0.0,0.0,6052.478906249999,,,session_043,chat,7516.080848371982,2
full_gpu,,measured_replay,True,,,,,,,,,,8644.3984375,True,,5000.0,5000.0,0.0,,,11210.37580436468,long,True,True,,False,,4681.11865234375,False,full_lru,,0.0,1296.6597656249999,full precision exact profile,0.0,,,,session_043_turn_003,0.0,0.0,0.0,9079.418359374999,,,session_043,chat,10702.166676431892,3
full_gpu,,measured_replay,True,,,,,,,,,,8644.3984375,True,,5000.0,5000.0,0.0,,,1859.5074879467486,short,True,True,,False,,4293.62255859375,False,full_lru,,0.0,1296.6597656249999,full precision exact profile,0.0,,,,session_044_turn_000,0.0,0.0,0.0,0.0,,,session_044,chat,1347.637789183855,0
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,5078.160868889094,medium,True,True,,False,,4511.24462890625,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_044_turn_001,0.0,0.0,0.0,3025.539453125,,,session_044,chat,4510.375710135699,1
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,10609.909940010308,long,True,True,,False,,4693.48779296875,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_044_turn_002,0.0,0.0,0.0,6052.478906249999,,,session_044,chat,10040.50102034807,2
full_gpu,,measured_replay,True,,,,,,,,,,8644.3984375,True,,5000.0,5000.0,0.0,,,1840.6446407079695,short,True,True,,False,,4284.88037109375,False,full_lru,,0.0,1296.6597656249999,full precision exact profile,0.0,,,,session_045_turn_000,0.0,0.0,0.0,0.0,,,session_045,chat,1331.6561224400996,0
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,4949.8645457685,short,True,True,,False,,4302.09912109375,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_045_turn_001,0.0,0.0,0.0,3025.539453125,,,session_045,chat,4376.4639514744285,1
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,8117.517680370807,medium,True,True,,False,,4371.17724609375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_045_turn_002,0.0,0.0,0.0,6052.478906249999,,,session_045,chat,7460.9474357903,2
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,11261.101064926384,medium,True,True,,False,,4522.11083984375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_045_turn_003,0.0,0.0,0.0,9081.06171875,,,session_045,chat,10594.583471959828,3
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,14266.047833412886,long,True,True,,False,,4631.12255859375,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_045_turn_004,0.0,0.0,0.0,12109.64453125,,,session_045,chat,13693.563004881144,4
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,1907.2985713779926,short,True,True,,False,,4293.01708984375,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_046_turn_000,0.0,0.0,0.0,0.0,,,session_046,chat,1339.560824394226,0
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,5065.069788593054,medium,True,True,,False,,4368.07177734375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_046_turn_001,0.0,0.0,0.0,3026.939453125,,,session_046,chat,4422.984437543154,1
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,10223.565654134749,medium,True,True,,False,,4450.20654296875,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_046_turn_002,0.0,0.0,0.0,6055.522265625,,,session_046,chat,9698.041324740647,2
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,11176.475004154443,long,True,True,,False,,4577.06005859375,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_046_turn_003,0.0,0.0,0.0,9073.40546875,,,session_046,chat,10602.914047288894,3
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,14323.72957690358,long,True,True,,False,,4696.64599609375,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_046_turn_004,0.0,0.0,0.0,12100.344921875,,,session_046,chat,13735.208804148435,4
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,2008.3656744003295,medium,True,True,,False,,4468.36279296875,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_047_turn_000,0.0,0.0,0.0,0.0,,,session_047,chat,1472.859995895624,0
full_gpu,,measured_replay,True,,,,,,,,,,8648.3984375,True,,5000.0,5000.0,0.0,,,1927.940691769123,short,True,True,,False,,4298.46630859375,False,full_lru,,0.0,1297.259765625,full precision exact profile,0.0,,,,session_048_turn_000,0.0,0.0,0.0,0.0,,,session_048,chat,1350.6436040103436,0
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,5118.06793885827,medium,True,True,,False,,4626.87060546875,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_048_turn_001,0.0,0.0,0.0,3026.939453125,,,session_048,chat,4582.908719801902,1
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,4316.072322386503,short,True,True,,False,,4289.58349609375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_049_turn_000,0.0,0.0,0.0,0.0,,,session_049,chat,3657.5494966983797,0
full_gpu,,measured_replay,True,,,,,,,,,,8622.5234375,True,,5000.0,5000.0,0.0,,,4977.743264025449,medium,True,True,,False,,4385.57177734375,False,full_lru,,0.0,1293.3785156249999,full precision exact profile,0.0,,,,session_049_turn_001,0.0,0.0,0.0,3028.5828125,,,session_049,chat,4419.84637427926,1
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,8062.409322333335,medium,True,True,,False,,4485.37255859375,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_049_turn_002,0.0,0.0,0.0,6046.466015624999,,,session_049,chat,7509.615651887654,2
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,11134.575287926196,medium,True,True,,False,,4541.98583984375,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_049_turn_003,0.0,0.0,0.0,9071.2671875,,,session_049,chat,10581.84833370447,3
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,14375.275574046373,long,True,True,,False,,4611.68505859375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_049_turn_004,0.0,0.0,0.0,12096.068359375,,,session_049,chat,13693.154468554258,4
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,17347.614791810513,long,True,True,,False,,4652.81982421875,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_049_turn_005,0.0,0.0,0.0,15124.651171874999,,,session_049,chat,16701.779753535986,5
full_gpu,,measured_replay,True,,,,,,,,,,8653.09375,True,,5000.0,5000.0,0.0,,,2006.6534280359745,short,True,True,,False,,4287.48193359375,False,full_lru,,0.0,1297.9640625,full precision exact profile,0.0,,,,session_050_turn_000,0.0,0.0,0.0,0.0,,,session_050,chat,1347.7828576743602,0
full_gpu,,measured_replay,True,,,,,,,,,,8642.2890625,True,,5000.0,5000.0,0.0,,,4935.21645707488,medium,True,True,,False,,4361.23779296875,False,full_lru,,0.0,1296.3433593749999,full precision exact profile,0.0,,,,session_050_turn_001,0.0,0.0,0.0,3028.5828125,,,session_050,chat,4398.756489580869,1
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,8222.344588649272,medium,True,True,,False,,4464.11083984375,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_050_turn_002,0.0,0.0,0.0,6053.383984374999,,,session_050,chat,7543.853201133012,2
full_gpu,,measured_replay,True,,,,,,,,,,8649.88671875,True,,5000.0,5000.0,0.0,,,11243.363004314899,medium,True,True,,False,,4544.47021484375,False,full_lru,,0.0,1297.4830078124999,full precision exact profile,0.0,,,,session_050_turn_003,0.0,0.0,0.0,9080.8443359375,,,session_050,chat,10591.217041152715,3
