action_profile,audit_rate,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.75,,,580.6809589266777,short,True,True,,False,,6604.0791015625,False,full_lru,,0.0,full precision exact profile,,,,,session_044_turn_000,,,8125.96484375,,,,session_044,chat,49.9533973634243,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,20.9453125,,,702.0222917199135,medium,True,True,,False,,6828.556640625,False,full_lru,,0.0,full precision exact profile,,,,,session_044_turn_001,,,8176.65234375,,,,session_044,chat,167.33113676309586,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,36.96875,,,2676.8603287637234,long,True,True,,False,,7016.5224609375,False,full_lru,,0.0,full precision exact profile,,,,,session_044_turn_002,,,8176.65234375,,,,session_044,chat,2158.7329618632793,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,0.9296875,,,548.731904476881,short,True,True,,False,,6595.0439453125,False,full_lru,,0.0,full precision exact profile,,,,,session_045_turn_000,,,8125.96484375,,,,session_045,chat,34.876808524131775,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,2.515625,,,561.1782558262348,short,True,True,,False,,6612.8291015625,False,full_lru,,0.0,full precision exact profile,,,,,session_045_turn_001,,,8176.65234375,,,,session_045,chat,52.3972325026989,1
full_gpu,,measured_replay,False,,,,,,,,,,,True,,8.640625,,,631.746768951416,medium,True,True,,False,,6684.0947265625,False,full_lru,,0.0,full precision exact profile,,,,,session_045_turn_002,,,8195.8203125,,,,session_045,chat,100.15842318534851,2
full_gpu,,measured_replay,False,,,,,,,,,,,True,,21.9296875,,,737.345214933157,medium,True,True,,False,,6839.7744140625,False,full_lru,,0.0,full precision exact profile,,,,,session_045_turn_003,,,8195.8203125,,,,session_045,chat,202.36993953585625,3
full_gpu,,measured_replay,False,,,,,,,,,,,True,,31.5,,,787.5853888690472,long,True,True,,False,,6952.2041015625,False,full_lru,,0.0,full precision exact profile,,,,,session_045_turn_004,,,8176.65234375,,,,session_045,chat,259.09217819571495,4
full_gpu,,measured_replay,False,,,,,,,,,,,True,,1.6953125,,,539.9301312863827,short,True,True,,False,,6603.4541015625,False,full_lru,,0.0,full precision exact profile,,,,,session_046_turn_000,,,8176.65234375,,,,session_046,chat,38.83714601397514,0
full_gpu,,measured_replay,False,,,,,,,,,,,True,,8.3671875,,,608.8074222207069,medium,True,True,,False,,6680.8916015625,False,full_lru,,0.0,full precision exact profile,,,,,session_046_turn_001,,,8195.8203125,,,,session_046,chat,89.86205980181694,1
