profile,rows,sessions,requests,measured_rows,ok_rows,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,latency_ms_mean,latency_ms_p50,latency_ms_p95,peak_memory_mib_mean,peak_memory_mib_p50,peak_memory_mib_p95,kv_cache_memory_mib_mean,kv_cache_memory_mib_p50,kv_cache_memory_mib_p95,resident_memory_mib_mean,resident_memory_mib_p50,resident_memory_mib_p95,quality_loss_mean,quality_loss_p50,quality_loss_p95,quality_score_mean,quality_score_p50,quality_score_p95
full_gpu,124,25,124,124,124,711.1291793370319,256.73435849603266,3997.6673035300337,1942.298759573004,1549.6460284339264,5122.644962742925,15860.27160250756,15643.29638671875,18059.32102050781,30.342741935483872,22.640625,108.93476562499995,7762.062626008064,7757.6875,7808.515625,0.0,0.0,0.0,1.0,1.0,1.0
h2o_heavy10_recent10,115,23,115,115,115,803.8841666289321,372.1258658915758,4105.904192128219,2716.069028923369,2407.7919728588313,5868.091430538334,15844.797681725544,15616.712890625,17975.96201171875,5.953191342561142,4.28228759765625,21.883587646484376,7738.568783967391,7754.22265625,7756.25,0.0084434350956831,0.0,0.003926728586171309,0.9915565649043169,1.0,1.0
h2o_heavy15_recent15,115,23,115,115,115,423.27920778290087,337.69552409648895,1301.032091327943,2341.452709690708,2313.763976097107,3177.336753392592,15849.545401664402,15619.2646484375,17990.76572265625,8.955089270550271,6.47833251953125,32.86381225585937,9450.73488451087,9408.3203125,9582.64453125,0.005032121934909274,0.0,6.0403529132135295e-05,0.9949678780650907,1.0,1.0
h2o_heavy20_recent20,109,23,109,109,109,415.23119428519743,311.5124739706516,1304.4325386639682,2352.946068719884,2359.8294821567833,3077.1220701746643,15824.51997025516,15540.49951171875,17927.129980468748,11.525206399620126,7.466552734375,42.66915283203124,9474.367295011469,9571.47265625,9582.64453125,0.004674869730861958,0.0,0.0,0.995325130269138,1.0,1.0
kivi_2bit_residual32,115,23,115,115,115,425.3949622137715,350.2644980326295,1282.3340089991686,2420.8992408122867,2516.89713797532,3220.505529316142,15848.922864300272,15618.798828125,17967.46396484375,6.793851902173913,5.16455078125,21.592846679687497,9464.429347826086,9436.26171875,9577.12890625,0.006473180665396136,0.0,0.00013851815038249367,0.9935268193346039,1.0,1.0
kivi_2bit_residual64,115,23,115,115,115,418.55985095683974,333.2466441206634,1279.5812687138093,2345.687699184308,2421.7730718664825,3173.416579607874,15849.928795855978,15620.931640625,17968.17490234375,7.6912173063858695,6.20361328125,22.7105224609375,9522.099524456522,9558.0703125,9627.125,0.0058998409616216494,0.0,0.00013851815038249367,0.9941001590383783,1.0,1.0
kivi_4bit_residual32,115,23,115,115,115,868.8421206629795,398.150006076321,3765.6226572580636,3039.8938944785978,2653.2547438982874,6623.378428025165,15854.046900475543,15622.6591796875,17981.46630859375,10.473131793478261,7.8544921875,35.2315673828125,7770.99558423913,7790.765625,7812.015625,0.00385762378025989,0.0,0.0,0.9961423762197401,1.0,1.0
kivi_4bit_residual64,115,23,115,115,115,431.25119515411234,348.14376989379525,1300.9427993092684,2393.303668586051,2442.0463140122592,3243.177303439006,15855.584502377716,15625.087890625,17981.568310546874,11.232440981657609,8.75341796875,36.1537353515625,9385.952275815218,9363.484375,9577.12890625,0.0037828224712369825,0.0,0.0,0.996217177528763,1.0,1.0
