action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status,split_seed
full_gpu,1.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,1.203125,1.203125,1.203125,1.203125,41273.16047716141,unknown,True,,True,,False,,15045.50732421875,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-000-turn-0,1.203125,0.0,1.203125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-000,chat,40197.68507312238,0,risk_evidence_insufficient,20260907
full_gpu,2.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,3.28125,2.078125,2.078125,2.078125,1160.8683669473976,unknown,True,,True,,False,,15071.74462890625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-002-turn-0,2.078125,0.0,2.078125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-002,chat,83.39722105301917,0,risk_evidence_insufficient,20260907
full_gpu,3.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,4.7578125,1.4765625,1.4765625,1.4765625,1136.863220948726,unknown,True,,True,,False,,15056.39697265625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-003-turn-0,1.4765625,0.0,1.4765625,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-003,chat,78.2165490090847,0,risk_evidence_insufficient,20260907
full_gpu,4.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,6.015625,1.2578125,1.2578125,1.2578125,1138.8289472088218,unknown,True,,True,,False,,15051.48681640625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-007-turn-0,1.2578125,0.0,1.2578125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-007,chat,77.18893210403621,0,risk_evidence_insufficient,20260907
full_gpu,5.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,7.6015625,1.5859375,1.5859375,1.5859375,1132.528331829235,unknown,True,,True,,False,,15061.63525390625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-008-turn-0,1.5859375,0.0,1.5859375,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-008,chat,78.83927086368203,0,risk_evidence_insufficient,20260907
full_gpu,6.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,9.296875,1.6953125,1.6953125,1.6953125,1149.063867982477,unknown,True,,True,,False,,15066.24462890625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-009-turn-0,1.6953125,0.0,1.6953125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-009,chat,78.70370801538229,0,risk_evidence_insufficient,20260907
full_gpu,7.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,10.828125,1.53125,1.53125,1.53125,1139.189493842423,unknown,True,,True,,False,,15063.63427734375,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-010-turn-0,1.53125,0.0,1.53125,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-010,chat,78.39320506900549,0,risk_evidence_insufficient,20260907
full_gpu,8.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,12.8515625,2.0234375,2.0234375,2.0234375,1166.8892139568925,unknown,True,,True,,False,,15078.54150390625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-011-turn-0,2.0234375,0.0,2.0234375,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-011,chat,84.5998590812087,0,risk_evidence_insufficient,20260907
full_gpu,9.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,14.65625,1.8046875,1.8046875,1.8046875,1144.2968000192195,unknown,True,,True,,False,,15074.51806640625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-013-turn-0,1.8046875,0.0,1.8046875,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-013,chat,79.9668941181153,0,risk_evidence_insufficient,20260907
full_gpu,10.0,0.1,False,False,online_qwen,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907/config.yaml,,,,,,True,,,,0,True,,469.6015625,17.28125,2.625,2.625,2.625,1145.171039039269,unknown,True,,True,,False,,15100.71337890625,False,full_lru,False,,,full_gpu,,,risk_evidence_insufficient,0.0,full precision exact profile,0.0,,,,hybrid-session-016-turn-0,2.625,0.0,2.625,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/full_25session_baseline_9_14/full/policy_attempts/retry2_20260915/seed20260907,,,hybrid-session-016,chat,82.14228902943432,0,risk_evidence_insufficient,20260907
