section,name,ok,error,diagnostic_output,session_trace_output,trace_semantics_gate_output,risk_signal_gate_output,policy_comparison_status,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,mean_quality_estimate,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,experiment_type,backend_events_applicable,backend_semantics_status,backend_not_applicable_reason,session_reuse_evidence,global_resident_evolution,backend_event_evidence,active_session_peak,audit_rate,audit_sample_count,backend_distribution,budget_hit_count,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,evict_event_count,length_bucket_distribution,mean_cumulative_kv_mib,mean_resident_kv_mib,multi_turn_session_count,optimality_gap,oracle,oracle_cost_ms,placeholder,policy_budget_filter_rate,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,queue_event_count,recompute_count,recompute_time_ms,recompute_time_ms_total,restore_count,restore_time_ms,restore_time_ms_total,risk_upper_mean,session_count,switch_count,target_delta,task_distribution,task_length_distribution,triggered_evict,triggered_queue,triggered_recompute,triggered_restore,violation_rate_eps0p05,violation_rate_eps0p1
policy,static_best,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4900.0,5.0,5.0,,554.7981587704271,283.7240369990468,1370.134758995846,1370.134758995846,16138.2341796875,17997.8935546875,12.23197021484375,32.940673828125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,,"{""h2o_heavy15_recent15"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""h2o_heavy15_recent15"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,static_safe,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4900.0,5.0,5.0,,547.2803955432028,310.79573184251785,1336.6515508387238,1336.6515508387238,16152.45830078125,18001.02734375,13.836279296875,35.12646484375,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,,"{""kivi_4bit_residual32"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""kivi_4bit_residual32"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,utility_dynamic,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4900.0,5.0,5.0,,540.5406213831156,297.79845499433577,1333.5123099386692,1333.5123099386692,16144.06416015625,17982.466796875,8.785205078125,21.44775390625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,8.0,"{""kivi_2bit_residual32"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""kivi_2bit_residual32"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,uncalibrated_dynamic,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4900.0,5.0,5.0,,554.7981587704271,283.7240369990468,1370.134758995846,1370.134758995846,16138.2341796875,17997.8935546875,12.23197021484375,32.940673828125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,8.0,"{""h2o_heavy15_recent15"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""h2o_heavy15_recent15"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,full_lru,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4400.0,5.0,5.0,,437.8991223871708,174.76812796667218,1205.4866249673069,1205.4866249673069,16178.26201171875,18097.50439453125,41.6171875,110.359375,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,,,,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,static_best,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4400.0,5.0,5.0,,554.7981587704271,283.7240369990468,1370.134758995846,1370.134758995846,16138.2341796875,17997.8935546875,12.23197021484375,32.940673828125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,,"{""h2o_heavy15_recent15"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""h2o_heavy15_recent15"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,static_safe,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4400.0,5.0,5.0,,547.2803955432028,310.79573184251785,1336.6515508387238,1336.6515508387238,16152.45830078125,18001.02734375,13.836279296875,35.12646484375,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,,"{""kivi_4bit_residual32"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""kivi_4bit_residual32"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,utility_dynamic,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4400.0,5.0,5.0,,540.5406213831156,297.79845499433577,1333.5123099386692,1333.5123099386692,16144.06416015625,17982.466796875,8.785205078125,21.44775390625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,8.0,"{""kivi_2bit_residual32"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""kivi_2bit_residual32"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,uncalibrated_dynamic,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,4400.0,5.0,5.0,,554.7981587704271,283.7240369990468,1370.134758995846,1370.134758995846,16138.2341796875,17997.8935546875,12.23197021484375,32.940673828125,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,0.0,8.0,"{""h2o_heavy15_recent15"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,True,0.0,0.0,,"{""h2o_heavy15_recent15"": 1.0}",,,,,,,,,0.0,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
policy,full_lru,True,,,,,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/pilot_tight_budget_coarse_batch007_20260911/configs/batch007.yaml,,,,,,0.05,0.05,3900.0,5.0,5.0,,437.8991223871708,174.76812796667218,1205.4866249673069,1205.4866249673069,16178.26201171875,18097.50439453125,41.6171875,110.359375,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 5}",,,,,baseline_quality,False,not_applicable,baseline_quality 使用独立质量请求，不验收 session/backend 事件,True,True,False,1.0,0.1,0.0,,,,,,,,,,"{""long"": 1, ""medium"": 2, ""short"": 1, ""xl"": 1}",,,1.0,,False,,False,0.0,,,"{""full_gpu"": 1.0}",,,,,,,,,,1.0,0.0,0.05,"{""chat"": 2, ""summary"": 3}","{""chat/medium"": 1, ""chat/short"": 1, ""summary/long"": 1, ""summary/medium"": 1, ""summary/xl"": 1}",,,,,,
