config,run_dir,policy,memory_budget_mib,epsilon,delta,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,worst_group_violation,delta_slack,safe_ratio,risk_upper_mean,pred_loss_mean,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,candidate_safe_count,controller_overhead_ms,controller_qrp_ms,controller_cg_ms,controller_stc_ms,oracle_cost_ms,optimality_gap,audit_rate,action_distribution
configs/pilot_50.yaml,out/manual_total_summary,uncalibrated_dynamic,5000.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,full_lru,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_best,4900.0,0.05,0.1,0.029082244297254433,0.0,0.14830214830214827,0.23076923076923084,0.18953568953568956,0.2,0.6666666666666666,-0.1,0.0,0.14988752118114923,0.045024729694410744,554.3153245747089,359.4547361135483,2406.7088924348354,2587.2599706053734,4627.55419921875,5035.41845703125,6.39927490234375,14.0546875,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_safe,4900.0,0.05,0.1,0.005825891510102035,0.0,0.05263157894736836,0.06401137980085347,0.05832147937411092,0.08,0.16666666666666666,0.020000000000000004,0.52,0.0577031021168952,0.0096171836861492,671.1857153475285,382.2447210550308,3795.6896238029003,3922.597523778677,4626.711640625,5031.64306640625,12.10822265625,23.616455078125,1.0,0.0,0.0,1.0,,,,,,,,,"{""kivi_4bit_residual64"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,tailguard,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,581.671958565712,298.9431992173195,2543.4184297919273,3795.6896238029003,4634.38109375,5031.64306640625,19.8518359375,37.515625,0.48,0.48,0.48,0.52,1.04,0.17844811081886292,0.1496531069278717,0.009719431400299072,0.1654641330242157,,,,"{""full_gpu"": 12, ""kivi_4bit_residual64"": 13}"
configs/pilot_50.yaml,out/manual_total_summary,quality_oracle,4900.0,0.05,0.1,0.0018353576248313086,0.0,0.0,0.045883940620782715,0.0018353576248313086,0.0,0.0,0.1,1.0,0.0018353576248313086,0.0018353576248313086,457.0822001993656,298.9431992173195,2275.08382871747,2543.4184297919273,4648.59236328125,5081.88330078125,32.7624609375,70.8203125,0.0,0.0,0.96,0.04,,,,,,0.004159212112426758,,,"{""full_gpu"": 24, ""h2o_heavy20_recent20"": 1}"
configs/pilot_50.yaml,out/manual_total_summary,utility_dynamic,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,uncalibrated_dynamic,4900.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,full_lru,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_best,5000.0,0.05,0.1,0.029082244297254433,0.0,0.14830214830214827,0.23076923076923084,0.18953568953568956,0.2,0.6666666666666666,-0.1,0.0,0.14988752118114923,0.045024729694410744,554.3153245747089,359.4547361135483,2406.7088924348354,2587.2599706053734,4627.55419921875,5035.41845703125,6.39927490234375,14.0546875,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_safe,5000.0,0.05,0.1,0.005825891510102035,0.0,0.05263157894736836,0.06401137980085347,0.05832147937411092,0.08,0.16666666666666666,0.020000000000000004,0.52,0.0577031021168952,0.0096171836861492,671.1857153475285,382.2447210550308,3795.6896238029003,3922.597523778677,4626.711640625,5031.64306640625,12.10822265625,23.616455078125,1.0,0.0,0.0,1.0,,,,,,,,,"{""kivi_4bit_residual64"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,tailguard,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,581.671958565712,298.9431992173195,2543.4184297919273,3795.6896238029003,4634.38109375,5031.64306640625,19.8518359375,37.515625,0.48,0.48,0.48,0.52,1.04,0.18324971199035645,0.15405014157295227,0.009956806898117065,0.17027780413627625,,,,"{""full_gpu"": 12, ""kivi_4bit_residual64"": 13}"
configs/pilot_50.yaml,out/manual_total_summary,quality_oracle,5000.0,0.05,0.1,0.0018353576248313086,0.0,0.0,0.045883940620782715,0.0018353576248313086,0.0,0.0,0.1,1.0,0.0018353576248313086,0.0018353576248313086,457.0822001993656,298.9431992173195,2275.08382871747,2543.4184297919273,4648.59236328125,5081.88330078125,32.7624609375,70.8203125,0.0,0.0,0.96,0.04,,,,,,0.004507899284362793,,,"{""full_gpu"": 24, ""h2o_heavy20_recent20"": 1}"
configs/pilot_50.yaml,out/manual_total_summary,utility_dynamic,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,uncalibrated_dynamic,5000.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,2.04,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,full_lru,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,,,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,0.0,0.0,1.0,0.0,,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_best,4900.0,0.1,0.05,0.029082244297254433,0.0,0.14830214830214827,0.23076923076923084,0.18953568953568956,0.16,0.5,-0.11,0.24,0.14988752118114923,0.045024729694410744,554.3153245747089,359.4547361135483,2406.7088924348354,2587.2599706053734,4627.55419921875,5035.41845703125,6.39927490234375,14.0546875,1.0,0.0,0.0,1.0,,,,,,,,,"{""h2o_heavy10_recent10"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,static_safe,4900.0,0.1,0.05,0.014508937778254677,0.0,0.06401137980085347,0.09851551956815108,0.08126344968450228,0.0,0.0,0.05,0.76,0.11566518176318535,0.024629197750794845,673.2208140194416,378.3455342054367,3746.811430901289,4053.2957278192043,4625.78697265625,5029.51025390625,8.32630859375,15.189453125,1.0,0.0,0.0,1.0,,,,,,,,,"{""kivi_2bit_residual64"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,tailguard,4900.0,0.1,0.05,0.01222673065394229,0.0,0.09851551956815108,0.11363636363636354,0.1060759416022573,0.04,0.16666666666666666,0.010000000000000002,1.0,0.06318679050567595,0.012753353973168215,586.791058331728,298.9431992173195,2587.2599706053734,3746.811430901289,4631.20759765625,5029.51025390625,14.00287109375,37.515625,0.24,0.24,0.24,0.76,3.52,0.18117934465408325,0.1559533178806305,0.01030653715133667,0.17346248030662537,,,,"{""full_gpu"": 6, ""h2o_heavy10_recent10"": 6, ""kivi_2bit_residual64"": 13}"
configs/pilot_50.yaml,out/manual_total_summary,quality_oracle,4900.0,0.1,0.05,0.0018353576248313086,0.0,0.0,0.045883940620782715,0.0018353576248313086,0.0,0.0,0.05,1.0,0.0018353576248313086,0.0018353576248313086,457.0822001993656,298.9431992173195,2275.08382871747,2543.4184297919273,4648.59236328125,5081.88330078125,32.7624609375,70.8203125,0.0,0.0,0.96,0.04,,,,,,0.004470497369766235,,,"{""full_gpu"": 24, ""h2o_heavy20_recent20"": 1}"
configs/pilot_50.yaml,out/manual_total_summary,utility_dynamic,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,4.52,,,,,,,,"{""full_gpu"": 25}"
configs/pilot_50.yaml,out/manual_total_summary,uncalibrated_dynamic,4900.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,468.7472227215767,298.9431992173195,2543.4184297919273,2566.709391772747,4648.67408203125,5081.88330078125,32.90875,70.8203125,1.0,1.0,1.0,0.0,4.52,,,,,,,,"{""full_gpu"": 25}"
