section,name,ok,error,diagnostic_output,failures,config,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,audit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,risk_upper_mean,target_delta
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,0.05,0.1,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,3.13,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
policy,full_lru,True,,,,configs/pilot.yaml,,,0.05,0.1,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,False,,False,,,0.1
policy,static_best,True,,,,configs/pilot.yaml,,,0.05,0.1,5000.0,100.0,100.0,,630.5126751214266,2995.4560548067093,3142.7178904414177,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.026026620764264544,0.128695652173913,0.22287390029325516,0.1738786156486276,0.21,-0.10999999999999999,0.37037037037037035,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,False,,True,0.031227964622540613,0.18547808768729868,0.1
policy,static_safe,True,,,,configs/pilot.yaml,,,0.05,0.1,5000.0,100.0,100.0,,773.4954075142741,4268.763076514006,4426.709905266762,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.12,-0.01999999999999999,0.18518518518518517,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,False,,True,0.009347117570360467,0.07151563130855605,0.1
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,0.05,0.1,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,3.13,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,0.05,0.1,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,3.13,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
policy,full_lru,True,,,,configs/pilot.yaml,,,0.1,0.05,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,False,,False,,,0.05
policy,static_best,True,,,,configs/pilot.yaml,,,0.1,0.05,4900.0,100.0,100.0,,630.5126751214266,2995.4560548067093,3142.7178904414177,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.026026620764264544,0.128695652173913,0.22287390029325516,0.1738786156486276,0.14,-0.09000000000000001,0.29411764705882354,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,False,,True,0.031227964622540613,0.18547808768729868,0.05
policy,static_safe,True,,,,configs/pilot.yaml,,,0.1,0.05,4900.0,100.0,100.0,,773.4954075142741,4268.763076514006,4426.709905266762,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.04,0.010000000000000002,0.07407407407407407,0.72,1.0,0.0,0.0,1.0,1.0,False,28.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,False,,True,0.009347117570360467,0.07151563130855605,0.05
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.05,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.05
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.05,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.05
policy,full_lru,True,,,,configs/pilot.yaml,,,0.1,0.05,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,False,,False,,,0.05
policy,static_best,True,,,,configs/pilot.yaml,,,0.1,0.05,5000.0,100.0,100.0,,630.5126751214266,2995.4560548067093,3142.7178904414177,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.026026620764264544,0.128695652173913,0.22287390029325516,0.1738786156486276,0.14,-0.09000000000000001,0.29411764705882354,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,False,,True,0.031227964622540613,0.18547808768729868,0.05
policy,static_safe,True,,,,configs/pilot.yaml,,,0.1,0.05,5000.0,100.0,100.0,,773.4954075142741,4268.763076514006,4426.709905266762,4661.478544921875,5055.19970703125,12.211103515625,23.59765625,0.012530918588906774,0.06401137980085347,0.1794871794871794,0.14200571770198384,0.04,0.010000000000000002,0.07407407407407407,0.72,1.0,0.0,0.0,1.0,1.0,False,28.0,,"{""kivi_4bit_residual32"": 100}",,,,,,,,False,,True,0.009347117570360467,0.07151563130855605,0.05
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.05,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.05
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.05,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.05
policy,full_lru,True,,,,configs/pilot.yaml,,,0.1,0.1,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,False,,False,,,0.1
policy,static_best,True,,,,configs/pilot.yaml,,,0.1,0.1,4900.0,100.0,100.0,,630.5126751214266,2995.4560548067093,3142.7178904414177,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.026026620764264544,0.128695652173913,0.22287390029325516,0.1738786156486276,0.14,-0.04000000000000001,0.29411764705882354,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,False,,True,0.031227964622540613,0.18547808768729868,0.1
policy,static_safe,True,,,,configs/pilot.yaml,,,0.1,0.1,4900.0,100.0,100.0,,633.1977180019021,3052.8008453547955,3145.9259502589703,4667.030185546875,5063.376953125,14.149117431640626,28.7681884765625,0.017928284425912485,0.11363636363636354,0.19999999999999996,0.1584893305146772,0.06,0.04000000000000001,0.2222222222222222,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy20_recent20"": 100}",,,,,,,,False,,True,0.021901076215900265,0.13102775658741483,0.1
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.1,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.1,4900.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
policy,full_lru,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,,False,,False,,,0.1
policy,static_best,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,100.0,100.0,,630.5126751214266,2995.4560548067093,3142.7178904414177,4664.4195947265625,5057.88818359375,10.587132568359374,21.521240234375,0.026026620764264544,0.128695652173913,0.22287390029325516,0.1738786156486276,0.14,-0.04000000000000001,0.29411764705882354,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy15_recent15"": 100}",,,,,,,,False,,True,0.031227964622540613,0.18547808768729868,0.1
policy,static_safe,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,100.0,100.0,,633.1977180019021,3052.8008453547955,3145.9259502589703,4667.030185546875,5063.376953125,14.149117431640626,28.7681884765625,0.017928284425912485,0.11363636363636354,0.19999999999999996,0.1584893305146772,0.06,0.04000000000000001,0.2222222222222222,0.28,1.0,0.0,0.0,1.0,1.0,False,72.0,,"{""h2o_heavy20_recent20"": 100}",,,,,,,,False,,True,0.021901076215900265,0.13102775658741483,0.1
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,0.1,0.1,5000.0,100.0,100.0,,532.9854500666261,2799.9082319438457,2929.563518613577,4686.205556640625,5101.89013671875,36.1615625,72.625,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,4.01,"{""full_gpu"": 100}",,,,,,,,False,,True,0.0,0.0,0.1
